specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
N2,1000_F_earth,1_M_earth,7000,56.51809305182621,21.23960907792864,0.0024067957956645,2.092320714964461,3150456480.4994226,1183947660.822086
N2,1000_F_earth,10_M_earth,200,996.9534111861276,65.0949435265723,7.319849149196113e-09,2.200252201034933e-07,271474493.37191385,17725619.489003714
N2,1000_F_earth,10_M_earth,300,1041.1765159971994,67.98244105448731,2.000646702643576e-06,5.921297801914547e-05,275410324.87843275,17982605.148285557
N2,1000_F_earth,10_M_earth,500,1145.2440383139694,74.77741202519775,0.0001425917941751,0.004025212424045,286215104.9954939,18688091.02520365
N2,1000_F_earth,10_M_earth,1000,1576.3583311576172,102.9265313634494,0.0059975421879133,0.0639196834778696,339860873.1661732,22190830.68217043
N2,1000_F_earth,10_M_earth,2000,2779.212250223808,181.46551528564956,0.0655467184264928,0.1706782853753531,464155761.69108,30306524.613689423
N2,1000_F_earth,10_M_earth,3000,4945.756857335773,322.92759091058895,0.4797025949230105,4.7954314397460855,658629634.9479594,43004475.84692605
N2,1000_F_earth,10_M_earth,4000,9492.9433171118,619.8309792562383,15.60126622330285,190.41551994659025,996199169.5309824,65045696.17218627
N2,1000_F_earth,10_M_earth,5000,16794.214687087413,1096.5592216876291,132.0720354862677,1560.2923340401017,1458287638.0934803,95217239.22309858
N2,1000_F_earth,10_M_earth,6000,29459.07517498495,1923.4969391189304,522.5193795400315,5708.451631688502,2151602475.8245764,140486446.09059423
N2,1000_F_earth,10_M_earth,7000,51256.83211460975,3346.756783631279,1366.232137148253,13549.428102784364,3192567142.339796,208455054.6731616
